36;2021-11-17 10:36:30.329867
37;2021-11-17 10:36:31.414417
32;2021-11-17 10:36:32.487452
22;2021-11-17 10:36:33.601804
20;2021-11-17 10:36:35.159034
40;2021-11-17 10:36:37.138737
37;2021-11-17 10:36:39.170207
44;2021-11-17 10:36:41.072993
28;2021-11-17 10:36:42.146113
26;2021-11-17 10:36:44.117960
36;2021-11-17 10:36:46.167135
45;2021-11-17 10:36:48.162672
35;2021-11-17 10:36:50.143664
33;2021-11-17 10:36:52.149182
32;2021-11-17 10:36:54.138780
30;2021-11-17 10:36:56.135168
21;2021-11-17 10:36:58.144134
40;2021-11-17 10:37:00.163633
28;2021-11-17 10:37:02.145726
41;2021-11-17 10:37:04.163910
44;2021-11-17 10:37:06.163333
41;2021-11-17 10:37:08.176419
45;2021-11-17 10:37:10.165174
25;2021-11-17 10:37:12.174581
26;2021-11-17 10:37:14.162538
40;2021-11-17 10:37:16.161133
41;2021-11-17 10:37:18.138009
44;2021-11-17 10:37:20.147994
33;2021-11-17 10:37:22.160647
23;2021-11-17 10:37:24.159286
29;2021-11-17 10:37:26.161168
41;2021-11-17 10:37:28.155438
24;2021-11-17 10:37:30.159405
24;2021-11-17 10:37:32.134211
44;2021-11-17 10:37:34.161733
24;2021-11-17 10:37:36.162228
31;2021-11-17 10:37:38.146826
39;2021-11-17 10:37:40.194348
40;2021-11-17 10:37:42.144017
45;2021-11-17 10:37:44.150351
26;2021-11-17 10:37:46.198937
21;2021-11-17 10:37:48.158709
21;2021-11-17 10:37:50.147470
37;2021-11-17 10:37:52.162420
43;2021-11-17 10:37:54.180434
27;2021-11-17 10:37:56.142971
33;2021-11-17 10:37:58.161012
29;2021-11-17 10:38:00.135407
29;2021-11-17 10:38:02.227526
36;2021-11-17 10:38:04.121342
39;2021-11-17 10:38:06.151033
29;2021-11-17 10:38:08.246235
45;2021-11-17 10:38:10.183138
36;2021-11-17 10:38:12.146979
45;2021-11-17 10:38:14.168401
39;2021-11-17 10:38:16.133662
30;2021-11-17 10:38:18.232206
44;2021-11-17 10:38:20.145984
28;2021-11-17 10:38:22.165847
21;2021-11-17 10:38:24.149633
35;2021-11-17 10:38:26.165061
28;2021-11-17 10:38:28.160852
31;2021-11-17 10:38:30.137931
38;2021-11-17 10:38:32.164428
37;2021-11-17 10:38:34.155797
45;2021-11-17 10:38:36.138329
39;2021-11-17 10:38:38.160883
37;2021-11-17 10:38:40.154360
42;2021-11-17 10:38:42.154867
29;2021-11-17 10:38:44.174912
29;2021-11-17 10:38:46.158035
34;2021-11-17 10:38:48.142441
32;2021-11-17 10:38:50.148774
21;2021-11-17 10:38:52.142958
45;2021-11-17 10:38:54.199930
38;2021-11-17 10:38:56.148113
27;2021-11-17 10:38:58.186064
41;2021-11-17 10:39:00.205981
22;2021-11-17 10:39:02.138897
24;2021-11-17 10:39:04.161766
34;2021-11-17 10:39:06.150581
34;2021-11-17 10:39:08.157529
41;2021-11-17 10:39:10.117330
36;2021-11-17 10:39:12.131737
28;2021-11-17 10:39:14.497122
21;2021-11-17 10:39:16.126220
28;2021-11-17 10:39:18.139641
20;2021-11-17 10:39:20.130762
41;2021-11-17 10:39:22.127499
24;2021-11-17 10:39:24.148433
45;2021-11-17 10:39:25.712481
38;2021-11-17 10:39:26.829006
